,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Walter Payton,CHI,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,333.0,1395.0,50.0,480.0,9.6,5.0,0.0,0.0,0.0,0.0,1395.0,11.0,333.0,480.0,0.0,293.5
1,John Jefferson,SDG,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,7.0,56.0,1001.0,17.88,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1001.0,13.0,234.79999999999998
2,Dave Casper,OAK,TE,26.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,5.0,62.0,852.0,13.74,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,852.0,9.0,199.7
3,Steve Largent,SEA,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1168.0,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,8.0,235.8
4,Roger Staubach,DAL,QB,36.0,15.0,15.0,231.0,413.0,3190.0,16.0,42.0,182.0,0.0,0.0,0.0,5.0,0.0,3190.0,25.0,413.0,182.0,1.0,42.0,0.0,0.0,209.79999999999998
5,Wesley Walker,NYJ,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-3.0,48.0,1169.0,24.35,2.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,1169.0,8.0,208.6
6,Earl Campbell,HOU,RB,23.0,15.0,14.0,0.0,0.0,0.0,0.0,302.0,1450.0,12.0,48.0,4.0,9.0,0.0,0.0,0.0,0.0,1450.0,13.0,302.0,48.0,0.0,221.8
7,Jim Zorn,SEA,QB,25.0,16.0,16.0,248.0,443.0,3283.0,20.0,59.0,290.0,0.0,0.0,0.0,11.0,0.0,3283.0,15.0,443.0,290.0,6.0,59.0,0.0,0.0,194.32
8,Tony Dorsett,DAL,RB,24.0,16.0,15.0,0.0,1.0,0.0,0.0,290.0,1325.0,37.0,378.0,10.22,12.0,0.0,0.0,0.0,1.0,1325.0,7.0,290.0,378.0,2.0,237.3
9,Harold Carmichael,PHI,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,21.0,55.0,1072.0,19.49,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,1072.0,8.0,210.29999999999998
10,Steve Grogan,NWE,QB,25.0,16.0,16.0,181.0,362.0,2824.0,23.0,81.0,539.0,0.0,0.0,0.0,9.0,0.0,2824.0,15.0,362.0,539.0,5.0,81.0,0.0,0.0,192.85999999999999
11,Lynn Swann,PIT,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,7.0,61.0,880.0,14.43,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,880.0,11.0,215.7
12,Terdell Middleton,GNB,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,284.0,1116.0,34.0,332.0,9.76,8.0,0.0,0.0,0.0,0.0,1116.0,11.0,284.0,332.0,1.0,234.8
13,Terry Bradshaw,PIT,QB,30.0,16.0,16.0,207.0,368.0,2915.0,20.0,32.0,93.0,0.0,1.0,0.0,8.0,0.0,2915.0,28.0,368.0,93.0,1.0,32.0,1.0,0.0,188.0
14,Riley Odoms,DEN,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,5.0,54.0,829.0,15.35,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,829.0,6.0,169.4
15,Archie Manning,NOR,QB,29.0,16.0,16.0,291.0,471.0,3416.0,16.0,38.0,202.0,0.0,0.0,0.0,8.0,0.0,3416.0,17.0,471.0,202.0,1.0,38.0,0.0,0.0,182.83999999999997
16,Brian Sipe,CLE,QB,29.0,16.0,16.0,222.0,399.0,2906.0,15.0,28.0,87.0,0.0,0.0,0.0,12.0,0.0,2906.0,21.0,399.0,87.0,3.0,28.0,0.0,0.0,172.94
17,Reggie Rucker,CLE,WR,31.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,14.0,43.0,893.0,20.77,3.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,893.0,8.0,175.70000000000002
18,Wilbert Montgomery,PHI,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,259.0,1220.0,34.0,195.0,5.74,6.0,0.0,0.0,0.0,0.0,1220.0,9.0,259.0,195.0,1.0,223.5
19,Dan Fouts,SDG,QB,27.0,15.0,14.0,224.0,381.0,2999.0,20.0,20.0,43.0,0.0,0.0,0.0,10.0,0.0,2999.0,24.0,381.0,43.0,2.0,20.0,0.0,0.0,172.26
20,Henry Childs,NOR,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,-4.0,53.0,869.0,16.4,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,2.0,869.0,4.0,161.5
21,John Stallworth,PIT,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,798.0,19.46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,9.0,170.8
22,Billy Joe DuPree,DAL,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,15.0,34.0,509.0,14.97,3.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,509.0,9.0,134.4
23,Sammy White,MIN,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,5.0,30.0,53.0,741.0,13.98,1.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,741.0,9.0,182.1
24,Delvin Williams,MIA,RB,27.0,16.0,15.0,0.0,1.0,0.0,0.0,272.0,1258.0,18.0,192.0,10.67,4.0,0.0,0.0,0.0,1.0,1258.0,8.0,272.0,192.0,0.0,203.0
25,Mark van Eeghen,OAK,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,270.0,1080.0,27.0,291.0,10.78,5.0,0.0,0.0,0.0,0.0,1080.0,9.0,270.0,291.0,0.0,208.1
26,Tony Reed,KAN,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,206.0,1053.0,48.0,483.0,10.06,6.0,0.0,0.0,0.0,0.0,1053.0,5.0,206.0,483.0,1.0,225.6
27,Fran Tarkenton,MIN,QB,38.0,16.0,16.0,345.0,572.0,3468.0,32.0,24.0,-6.0,0.0,0.0,0.0,7.0,0.0,3468.0,25.0,572.0,-6.0,1.0,24.0,0.0,0.0,166.12
28,Ahmad Rashad,MIN,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,769.0,11.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,8.0,186.9
29,Nat Moore,MIA,WR,27.0,16.0,15.0,0.0,0.0,0.0,0.0,4.0,-3.0,48.0,645.0,13.44,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,4.0,645.0,10.0,170.2
30,David Sims,SEA,RB,23.0,12.0,9.0,1.0,1.0,15.0,0.0,174.0,752.0,30.0,195.0,6.5,4.0,0.0,15.0,0.0,1.0,752.0,14.0,174.0,195.0,1.0,207.3
31,Tony Hill,DAL,WR,22.0,16.0,16.0,0.0,1.0,0.0,0.0,3.0,17.0,46.0,823.0,17.89,1.0,0.0,0.0,0.0,1.0,17.0,0.0,3.0,823.0,6.0,164.0
32,James Lofton,GNB,WR,22.0,16.0,16.0,0.0,2.0,0.0,0.0,3.0,13.0,46.0,818.0,17.78,2.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0,818.0,6.0,161.10000000000002
33,Ozzie Newsome,CLE,TE,22.0,16.0,16.0,0.0,0.0,0.0,0.0,13.0,96.0,38.0,589.0,15.5,1.0,0.0,0.0,0.0,0.0,96.0,2.0,13.0,589.0,2.0,128.5
34,Roland Harper,CHI,RB,25.0,16.0,16.0,0.0,1.0,0.0,1.0,240.0,992.0,43.0,340.0,7.91,2.0,0.0,0.0,0.0,1.0,992.0,6.0,240.0,340.0,2.0,218.2
35,Frank Lewis,BUF,WR,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,735.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,7.0,156.5
36,David Hill,DET,TE,24.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,12.0,53.0,633.0,11.94,1.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,633.0,4.0,139.5
37,Stanley Morgan,NWE,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,11.0,34.0,820.0,24.12,6.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,820.0,5.0,135.1
38,Kevin Long,NYJ,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,214.0,954.0,26.0,204.0,7.85,4.0,0.0,0.0,0.0,0.0,954.0,10.0,214.0,204.0,0.0,193.8
