,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Emmitt Smith,DAL,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,368.0,1484.0,61.0,50.0,341.0,6.82,1.0,0.0,0.0,0.0,0.0,1484.0,21.0,368.0,341.0,1.0,364.5
1,Steve Young,SFO,QB,33.0,16.0,16.0,324.0,461.0,3969.0,10.0,58.0,293.0,0.0,0.0,0.0,0.0,4.0,3.0,3969.0,35.0,461.0,293.0,7.0,58.0,0.0,0.0,344.06
2,Jerry Rice,SFO,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,7.0,93.0,151.0,112.0,1499.0,13.38,1.0,1.0,0.0,0.0,0.0,93.0,2.0,7.0,1499.0,13.0,359.2
3,Barry Sanders,DET,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,331.0,1883.0,65.0,44.0,283.0,6.43,0.0,0.0,0.0,0.0,0.0,1883.0,7.0,331.0,283.0,1.0,308.6
4,Chris Warren,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,333.0,1545.0,61.0,41.0,323.0,7.88,5.0,4.0,0.0,0.0,0.0,1545.0,9.0,333.0,323.0,2.0,285.8
5,Marshall Faulk,IND,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,314.0,1282.0,74.0,52.0,522.0,10.04,5.0,5.0,0.0,0.0,0.0,1282.0,11.0,314.0,522.0,1.0,294.4
6,Brett Favre,GNB,QB,25.0,16.0,16.0,363.0,582.0,3882.0,14.0,42.0,202.0,0.0,0.0,0.0,0.0,7.0,5.0,3882.0,33.0,582.0,202.0,2.0,42.0,0.0,0.0,281.47999999999996
7,Sterling Sharpe,GNB,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,15.0,159.0,94.0,1119.0,11.9,1.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,1119.0,18.0,315.4
8,Ben Coates,NWE,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,96.0,1174.0,12.23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1174.0,7.0,253.4
9,Natrone Means,SDG,RB,22.0,16.0,16.0,0.0,1.0,0.0,0.0,343.0,1350.0,43.0,39.0,235.0,6.03,5.0,4.0,0.0,0.0,1.0,1350.0,12.0,343.0,235.0,0.0,261.5
10,Ricky Watters,SFO,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,239.0,877.0,88.0,66.0,719.0,10.89,8.0,3.0,0.0,0.0,0.0,877.0,6.0,239.0,719.0,5.0,285.6
11,Dan Marino,MIA,QB,33.0,16.0,16.0,385.0,615.0,4453.0,17.0,22.0,-6.0,0.0,0.0,0.0,0.0,9.0,5.0,4453.0,30.0,615.0,-6.0,1.0,22.0,0.0,0.0,259.52
12,Terance Mathis,ATL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,111.0,1342.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,11.0,311.2
13,Andre Reed,BUF,WR,30.0,16.0,16.0,1.0,1.0,32.0,0.0,10.0,87.0,143.0,90.0,1303.0,14.48,3.0,2.0,32.0,0.0,1.0,87.0,0.0,10.0,1303.0,8.0,274.28000000000003
14,Shannon Sharpe,DEN,TE,26.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,87.0,1010.0,11.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,4.0,210.0
15,Tim Brown,RAI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,89.0,1309.0,14.71,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,9.0,267.9
16,Thurman Thomas,BUF,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,287.0,1093.0,71.0,50.0,349.0,6.98,1.0,1.0,0.0,0.0,0.0,1093.0,7.0,287.0,349.0,2.0,246.2
17,Herman Moore,DET,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,72.0,1173.0,16.29,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,11.0,251.3
